Area,ISO3.Code,LAT,LON,Value.Seed.1993,Value.Seed.1994,Value.Seed.1995,Value.Seed.1996,Value.Seed.1997,Value.Seed.1998,Value.Seed.1999,Value.Seed.2000,Value.Seed.2001,Value.Seed.2002,Value.Seed.2003,Value.Seed.2004,Value.Seed.2005,Value.Seed.2006,Value.Seed.2007,Value.Seed.2008,Value.Seed.2009,Value.Seed.2010,Value.Seed.2011,Value.Seed.2012,Value.Seed.2013,Value.Seed.2014,Value.Seed.2015,Value.Seed.2016
Northern America,CAN,57.7487688035733,-101.569822125212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South America,BRA,-10.8067736434989,-53.0543400357671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central Asia,UZB,41.7486026646522,63.2036395282317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Europe,POL,52.1482602193319,19.3110143084487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Europe,GBR,53.8833587148482,-2.65799297938563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Europe,DEU,51.1337226904078,10.2884850927429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,NZL,-43.9858177329728,170.513011374997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,RUS,61.6925647074082,99.2165267869251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,IND,22.9250064074085,79.5937037632538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,PAK,29.9734600255474,69.4139980631813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,USA,39.5015541259931,-99.0602406280213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,CPR,36.6094323800447,103.865365256658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Africa,ETH,8.65399918813263,39.5512557929378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Africa,AGO,-12.2915534387057,17.5029119215871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Africa,EGY,26.5066199997495,29.8444615131244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Africa,NGA,9.54831841820997,7.99512775408979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central America,MEX,23.9353719022448,-102.576349523987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Asia,JPN,36.019075365944,136.881947315984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Asia,IRN,32.5189173176254,54.2854514968914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Asia,IRQ,33.0368223410367,43.7569114187134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Europe,ITA,43.472476107586,12.2194764873985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

