Area,ISO3.Code,LAT,LON,Value.PWO.1993,Value.PWO.1994,Value.PWO.1995,Value.PWO.1996,Value.PWO.1997,Value.PWO.1998,Value.PWO.1999,Value.PWO.2000,Value.PWO.2001,Value.PWO.2002,Value.PWO.2003,Value.PWO.2004,Value.PWO.2005,Value.PWO.2006,Value.PWO.2007,Value.PWO.2008,Value.PWO.2009,Value.PWO.2010,Value.PWO.2011,Value.PWO.2012,Value.PWO.2013,Value.PWO.2014,Value.PWO.2015,Value.PWO.2016
Northern America,CAN,57.7487688035733,-101.569822125212,9365953,7506247,8429671,7895909,7128836,6941188,8600140,6910986,7369039,7617309,7401568,9325633,7846185,8279797,7007772,5819911,6448087,6003424,7825992,7548715,9185735,11396902,11139264,13052796
South America,BRA,-10.8067736434989,-53.0543400357671,20338635,19476994,22955588,20012259,19861796,17996728,22100477,19565955,22548317,21062644,23611422,23840315,22783025,24853664,26775635,22172031,22358799,24351452,26704882,23667335,29106801,26824104,23718468,28294292
Central Asia,UZB,41.7486026646522,63.2036395282317,15214574,13401296,14452689,13053681,13049387,10575470,13620884,12662886,13977340,14989891,16970930,17680760,18440441,20583092,22334078,17385519,19051081,19731573,22791691,18750585,22548797,17865042,18252288,20496412
Eastern Europe,POL,52.1482602193319,19.3110143084487,46080352,44999129,47428167,38050046,39316387,35228889,40238486,34437017,40980510,38156095,32038569,41931621,37979295,36326615,40881996,37260915,31925275,36008917,40625484,33371329,40426230,35518739,34500776,34449120
Northern Europe,GBR,53.8833587148482,-2.65799297938563,19461694,19437298,21875610,20467235,21670565,19286503,24218693,22168636,23622604,23021096,24290105,25273268,24516762,25805548,27248676,22468608,22326762,24379199,26277535,23675691,27102227,26259862,24956164,27099160
Western Europe,DEU,51.1337226904078,10.2884850927429,35216960,35803439,43349514,38046933,37170789,36093679,41957333,41399116,46582459,44435322,43061883,46770893,49679498,53558253,51994604,47031485,46377491,45742178,51627531,44068273,52801320,50563554,48099588,51519962
Oceania,NZL,-43.9858177329728,170.513011374997,4675813,3858022,5234511,3966403,4496666,4179980,5446601,4942590,5513867,5774738,6485591,6869622,7246557,8369759,7985003,7321241,5483304,7623602,7109196,7076790,8347275,8380075,7464388,8425986
Russian Federation,RUS,61.6925647074082,99.2165267869251,50181291,35449319,37575293,36287649,35442551,31666225,36053466,33822785,46002568,33607233,31652656,43625715,36618557,37815038,37847154,45929611,39314063,28431276,33744709,27680146,37761943,36171451,39022840,44263658
India,IND,22.9250064074085,79.5937037632538,61076249,58192698,68974287,58786511,63109303,57926281,71885701,68278772,71317321,67812404,69392499,72783247,66423657,76741806,84723597,71574653,70104157,77862664,84025782,75058468,93975209,87317924,82763464,91824618
Pakistan,PAK,29.9734600255474,69.4139980631813,18841703,18300737,19991812,17849910,19167968,17485426,21501966,19575590,19684175,18258860,19754723,20948492,20200563,22911860,23390797,19560372,20556174,21913498,24445671,22202496,26518344,24647742,23031584,25490720
United States of America,USA,39.5015541259931,-99.0602406280213,34137413,34003566,35405381,33229431,31908852,31652890,35754397,32870797,31962785,27818506,32242373,32375315,30248769,31739370,31330580,29979651,28185627,29074227,32674950,34869075,37047167,33632362,32679648,37112208
China,CPR,36.6094323800447,103.865365256658,117449173,109491274,123446054,108033544,109334763,96855023,117368556,103974552,111526533,102758209,107283350,107895310,101533437,109628117,116355710,94020765,94901029,105220238,128735588,115808460,138127932,126828626,124668980,140175546
Eastern Africa,ETH,8.65399918813263,39.5512557929378,1492654,1968811,1570615,1648421,1440219,1753631,2016932,2577648,2714862,2421879,3479691,2904345,3314710,3569818,3575565,3215970,5175813,5319849,6900217,5091573,5449342,5855266,5416294,6634720
Middle Africa,AGO,-12.2915534387057,17.5029119215871,573931,598637,575947,466265,649669,651913,875054,886789,928173,1021389,1106123,1202620,1168621,1424706,1223976,1202558,1308988,1398806,1796238,1682360,2150495,1723052,1823073,2104889
Northern Africa,EGY,26.5066199997495,29.8444615131244,13129143,14234802,16003801,11891388,14640451,11635454,13382069,14668326,14342845,16381513,13165162,14522801,16075140,17974257,21205652,19289011,17654427,21066641,23887282,18929896,23967929,23170213,19668174,33311957
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,1328743,868087,1129747,1157020,436987,544207,626554,728116,38990,702591,832914,1373740,1418124,1222076,1474120,1413870,1300545,1474482,2115941,1723833,1481740,2007959,2877167,1775142
Western Africa,NGA,9.54831841820997,7.99512775408979,2599411,1943506,2193942,2054642,2483913,3092230,3282442,3585865,3815389,4021799,3998219,4492936,5739155,5756693,5754199,4550220,5613913,6205303,6667308,5420055,7345492,7482764,7155061,8285409
Central America,MEX,23.9353719022448,-102.576349523987,4562217,4196348,3594410,4404015,4132848,4750222,5721251,5037732,6239492,5408404,6014171,6485624,6258401,6110414,6176049,4299991,4141976,5939614,6499375,6591198,7293638,6099829,6215027,6701614
Eastern Asia,JPN,36.019075365944,136.881947315984,11562567,12084683,9039903,8269338,9534055,9120814,10825449,9174652,9955253,9777777,9604606,10041681,9452450,9756453,9900636,8038647,8228361,9835642,11764703,11457838,12633661,10774561,10543407,11804160
Southern Asia,IRN,32.5189173176254,54.2854514968914,4782365,3815035,6112036,5868316,7870075,4692887,9938394,9257162,10792513,7396770,5217828,3939254,4093276,5307572,4581562,7359770,10536321,6624630,5727824,8616401,9052375,5200781,9184195,8898675
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,6665633,7365897,9080012,7742764,7737641,6396964,8044666,8669715,8736678,10802628,9245723,12570282,11240014,12975030,12907812,8468704,10986510,12552159,15279047,15573208,15963018,15507117,15853711,17666435
Western Asia,IRQ,33.0368223410367,43.7569114187134,2352510,9012,1579599,3594366,6738469,5547938,6687349,6514642,4634368,5721430,5459240,7171935,5186370,5495286,9400083,11305511,10357681,9410498,14117424,14001928,14396317,9190920,7563328,13952246
Southern Europe,ITA,43.472476107586,12.2194764873985,4267422,3704527,6566100,5837751,8330120,7686618,8552259,6997477,9991698,11564239,9541443,10628966,13563193,12143550,9854786,8658520,10499973,9853519,10397048,9548510,7125403,10111034,9594446,4124386

