Area,ISO3.Code,LAT,LON,MeanConsumPP,Pop.1993,Pop.1994,Pop.1995,Pop.1996,Pop.1997,Pop.1998,Pop.1999,Pop.2000,Pop.2001,Pop.2002,Pop.2003,Pop.2004,Pop.2005,Pop.2006,Pop.2007,Pop.2008,Pop.2009,Pop.2010,Pop.2011,Pop.2012,Pop.2013,Pop.2013,Pop.2013,Pop.2013
Northern America,CAN,57.7487688035733,-101.569822125212,0.0857822490326087,28805109,29120318,29424282,29716069,29996515,30270891,30546.31,30828383,31118265,31415973,31724445,32046768,32384669,32739719,33110326,33490.94,33873.8,34252947,34626198,34993949,35355925,35355925,35355925,35355925
South America,BRA,-10.8067736434989,-53.0543400357671,0.0551006834207426,313572482,318741527,323918586,329106008,334294265,339478151,344648597,349795657,354923548,360025582,365067675,370005544,374809128,379461208,383973.95,388383075,392740928,397085003,401425855,405750423,410043907,410043907,410043907,410043907
Central Asia,UZB,41.7486026646522,63.2036395282317,0.156487202534091,52266.04,52741.31,53177844,53578655,53947941,54309336,54691748,55117412,55597878,56134.21,56724645,57362.5,58042955,58763823,59528136,60341336,61210695,62138646,63127124,64166006,65230587,65230587,65230587,65230587
Eastern Europe,POL,52.1482602193319,19.3110143084487,0.114231918834952,162134392,161772217,161276087,160643886,159892592,159064445,158215067,157387554,156598.48,155847.81,155141056,154478388,153859416,153288624,152768511,152292557,151850576,151433065,151038495,150662837,150290728,150290728,150290728,150290728
Northern Europe,GBR,53.8833587148482,-2.65799297938563,0.0921317446489857,92727443,92937549,93153316,93378806,93614543,93862081,94122212,94397434,94682917,94983946,95324544,95736247,96238537,96844364,97539012,98280147,99008676,99682.18,100283755,100825615,101329969,101329969,101329969,101329969
Western Europe,NLD,52.2987003744418,5.5122171009654,0.0861895801744479,178978872,180029792,180909224,181582198,182072919,182442518,182783409,183163439,183603095,184083756,184587866,185084142,185551556,185983792,186395182,186808.99,187257437,187761522,188331187,188953368,189597803,189597803,189597803,189597803
Oceania,NZL,-43.9858177329728,170.513011374997,0.0576318510959816,28232784,28646227,29053844,29455.8,29854144,30252441,30655472,31067.62,31488052,31918387,32368119,32849296,33369472,33933089,34534965,35160.97,35791193,36410779,37014521,37605014,38184666,38184666,38184666,38184666
Russian Federation,RUS,61.6925647074082,99.2165267869251,0.131836212639502,148435811,148416292,148293265,148078355,147772805,147385.44,146924174,146400951,145818121,145195521,144583147,144043914,143622566,143338407,143180249,143123163,143126.66,143158099,143211476,143287536,143367341,143367341,143367341,143367341
India,IND,22.9250064074085,79.5937037632538,0.0590719791149851,924475633,942604211,960874982,979290432,997817.25,1016402907,1034976626,1053481072,1071888.19,1090189358,1108369577,1126419321,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874,1279498874,1279498874,1279498874
Pakistan,PAK,29.9734600255474,69.4139980631813,0.122467278822255,116579605,119564925,122599749,125697651,128845692,132013.68,135158132,138250487,141282077,144271586,147251.53,150267989,153356383,156524189,159767672,163096985,166520983,170043918,173669648,177392252,181192646,181192646,181192646,181192646
United States of America,USA,39.5015541259931,-99.0602406280213,0.0854010461113738,260527.42,263301323,266275528,269483224,272882865,276354096,279730801,282895741,285796198,288470847,291005482,293530886,296139635,298860519,301655953,304473143,307231961,309876.17,312390368,314799465,317135919,317135919,317135919,317135919
China,CPR,36.6094323800447,103.865365256658,0.0712029964691403,1230141902,1243489218,1255539959,1266227485,1275559088,1283869624,1291608778,1299125425,1306557807,1313904.22,1321200821,1328438559,1335615303,1342766.01,1349939.21,1357150247,1364405672,1371697338,1379024158,1386350019,1393582949,1393582949,1393582949,1393582949
Eastern Africa,ETH,8.65399918813263,39.5512557929378,0.0170344288204779,214020115,219485381,225309503,231547883,238160091,245073029,252170747,259372541,266660507,274075583,281665835,289502069,297636467,306080423,314819.98,323851029,333162.13,342742625,352593266,362712007,373080.59,373080.59,373080.59,373080.59
Middle Africa,AGO,-12.2915534387057,17.5029119215871,0.00956911667671179,78610239,81291223,83875087,86328754,88689651,91036213,93482823,96113261,98952774,101979231,105171.79,108492374,111912892,115431961,119060919,122798422,126644314,130598289,134658449,138823135,143092848,143092848,143092848,143092848
Northern Africa,EGY,26.5066199997495,29.8444615131244,0.135962045689666,150752999,154175827,157438162,160517977,163440177,166259481,169055865,171890851,174786702,177738.19,180747117,183807194,186917286,190076359,193300082,196622143,200085369,203716733,207527833,211499571,215589056,215589056,215589056,215589056
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,0.0564671061397051,45299058,46372799,47374567,48291099,49133904,49922387,50687.2,51451328,52218951,52984327,53748946,54512462,55274466,56035.94,56797694,57558324,58315545,59066802,59812547,60550766,61273413,61273413,61273413,61273413
Western Africa,NGA,9.54831841820997,7.99512775408979,0.0158111189148508,195636228,200984782,206419067,211937388,217555401,223293115,229178389,235235168,241469773,247888508,254515358,261378301,268497834,275883162,283532323,291439529,299593177,307982413,316608328,325467852,334540214,334540214,334540214,334540214
Central America,MEX,23.9353719022448,-102.576349523987,0.0353765921959426,157648316,160540519,163407341,166251334,169070.73,171838052,174519078,177094291,179544173,181887693,184191127,186546055,189016747,191628067,194356695,197159271,199969513,202737993,205452082,208123459,210755549,210755549,210755549,210755549
Eastern Asia,JPN,36.019075365944,136.881947315984,0.0435311560362988,191119.51,192203115,193198007,194095244,194908883,195666546,196407269,197158601,197929792,198710644,199485353,200229452,200924388,201566.6,202159798,202701237,203189298,203623006,204000025,204319964,204586599,204586599,204586599,204586599
Southern Asia,IRN,32.5189173176254,54.2854514968914,0.0694502265299235,226082141,231003626,235921229,240823665,245693578,250539769,255374723,260201202,265041849,269878815,274627018,279172152,283441426,287389867,291065511,294602659,298190191,301962.4,305964875,310152.07,314455027,314455027,314455027,314455027
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,0.0161606008457714,470688178,478813995,486881244,494890887,502830092,510695388,518480478,526178808,533808089,541368197,548814978,556088758,563156681,569985012,576612861,583168343,589826508,596707855,603860448,611233.05,618723699,618723699,618723699,618723699
Western Asia,IRQ,33.0368223410367,43.7569114187134,0.131654479011749,159384458,163030523,166655663,170262396,173871079,177503526,181189328,184956825,188792168,192706993,196783607,201128364,205806355,210853689,216217924,221764675,227306425,232702.72,237909741,242950,247831208,247831208,247831208,247831208
Southern Europe,ITA,43.472476107586,12.2194764873985,0.118784492784057,143926645,144049194,144146548,144207109,144250.9,144349709,144597977,145058.07,145751333,146642.39,147664648,148721673,149735395,150697118,151604736,152395585,152996288,153360036,153450662,153292456,152975622,152975622,152975622,152975622

